rainfall,soil_moisture,slope_angle,vibration,pore_water_pressure,temperature,risk_score,risk_level
0.65,66.52,40.03,0.292,1.69,25.1,20.7,Safe
3.42,23.77,27.27,0.07,1.37,23.7,7.1,Safe
0.17,37.43,23.06,0.01,2.43,20.7,6.2,Safe
12.0,14.18,39.06,0.074,1.64,25.1,17.8,Safe
1.5,40.53,28.85,0.159,3.18,24.8,12.9,Safe
5.43,29.52,47.39,0.044,5.94,21.0,18.4,Safe
1.87,54.23,26.53,0.085,4.49,28.6,6.4,Safe
3.67,27.25,45.42,0.01,1.4,27.9,18.1,Safe
3.96,18.11,45.79,0.133,3.01,28.8,16.3,Safe
1.02,30.29,22.98,0.212,7.33,22.9,4.5,Safe
17.46,15.25,41.34,0.08,0.28,18.1,14.7,Safe
7.46,42.51,29.29,0.082,0.33,27.9,12.9,Safe
14.03,14.35,45.28,0.014,3.25,23.3,15.4,Safe
11.26,35.28,29.85,0.034,4.08,22.4,16.4,Safe
4.56,14.22,39.56,0.025,0.95,21.0,11.8,Safe
12.75,31.8,30.41,0.099,5.47,24.9,13.9,Safe
0.46,51.43,22.52,0.113,4.16,32.3,6.3,Safe
1.09,38.61,21.58,0.446,10.27,24.0,4.2,Safe
0.23,26.37,29.04,0.011,0.74,21.6,7.9,Safe
1.97,34.69,39.93,0.137,5.57,28.6,14.6,Safe
2.46,35.18,34.97,0.112,0.35,26.7,13.8,Safe
1.58,39.73,37.72,0.109,3.33,17.5,16.5,Safe
8.82,21.33,24.32,0.31,3.21,28.6,5.3,Safe
2.21,40.93,30.89,0.035,1.97,34.5,12.2,Safe
1.65,10.0,16.47,0.01,7.45,15.6,4.3,Safe
3.91,28.7,41.98,0.167,0.02,21.1,16.5,Safe
0.76,30.12,47.67,0.064,2.94,14.6,16.7,Safe
8.1,41.33,28.43,0.01,0.98,25.7,11.6,Safe
0.39,35.23,15.36,0.043,5.44,30.0,3.2,Safe
21.67,20.94,20.6,0.056,0.18,26.4,4.0,Safe
7.4,25.15,36.53,0.144,7.12,31.6,18.5,Safe
1.11,36.99,35.2,0.028,7.28,29.3,14.3,Safe
0.03,34.21,41.0,0.08,7.16,32.8,22.1,Safe
8.45,29.21,23.38,0.099,0.66,30.6,4.7,Safe
6.14,30.19,40.2,0.092,3.98,24.4,19.3,Safe
6.53,41.96,37.7,0.547,0.06,26.3,17.6,Safe
7.38,29.82,25.65,0.01,7.53,22.5,9.1,Safe
0.38,34.12,33.0,0.452,5.13,25.1,8.8,Safe
2.22,56.7,19.86,0.131,3.03,26.2,12.2,Safe
0.62,20.76,29.93,0.238,5.25,25.7,10.3,Safe
9.94,16.48,44.08,0.084,0.4,31.4,19.6,Safe
4.88,42.84,28.9,0.091,3.01,24.7,8.0,Safe
2.01,28.21,42.71,0.317,1.38,22.3,18.0,Safe
0.33,31.82,34.48,0.339,14.39,22.5,15.7,Safe
1.86,27.19,21.33,0.041,7.78,28.6,2.6,Safe
1.97,32.4,34.18,0.033,5.29,20.4,16.5,Safe
6.54,50.99,31.7,0.103,10.86,25.2,16.6,Safe
5.07,43.02,28.16,0.346,1.7,31.3,11.4,Safe
10.91,43.62,18.95,0.058,9.25,27.2,7.7,Safe
3.2,20.84,28.75,0.158,1.57,25.7,6.1,Safe
0.64,23.49,17.4,0.185,5.28,25.9,3.1,Safe
6.25,10.0,18.26,0.226,5.33,21.9,3.6,Safe
7.15,26.91,28.73,0.124,0.07,22.6,9.4,Safe
4.12,44.57,25.08,0.077,1.79,25.2,11.4,Safe
7.37,40.17,45.54,0.512,0.08,27.1,22.1,Safe
3.4,32.78,27.4,0.142,23.36,29.8,11.3,Safe
3.7,34.78,40.01,0.196,0.52,26.4,15.4,Safe
2.79,28.11,32.5,0.063,3.13,31.4,9.7,Safe
0.13,37.05,38.23,0.166,6.25,32.4,19.8,Safe
0.57,42.66,23.58,0.045,0.9,29.2,6.9,Safe
0.16,18.84,46.08,0.042,2.65,30.9,19.5,Safe
5.06,38.0,32.49,0.188,3.74,22.0,14.3,Safe
1.89,44.32,42.43,0.111,0.7,21.4,17.8,Safe
3.55,30.85,27.05,0.172,6.03,28.1,5.6,Safe
11.91,42.01,18.31,0.047,1.42,20.6,1.0,Safe
1.43,63.15,37.23,0.137,0.95,24.8,17.6,Safe
2.64,33.96,15.26,0.088,3.27,29.1,4.5,Safe
7.04,38.93,30.68,0.136,2.11,31.7,15.5,Safe
1.3,27.62,21.36,0.052,10.12,25.0,5.8,Safe
0.4,36.81,35.7,0.189,8.48,23.4,18.3,Safe
1.71,39.6,47.32,0.246,2.64,27.3,21.8,Safe
0.88,36.95,30.33,0.045,1.78,21.7,9.2,Safe
13.27,24.8,41.98,0.054,1.58,25.3,19.5,Safe
8.25,37.06,31.76,0.162,1.25,26.0,13.2,Safe
5.02,49.62,31.36,0.178,3.15,25.9,16.2,Safe
10.26,39.49,45.7,0.183,6.54,26.4,24.8,Safe
8.14,44.62,44.37,0.172,1.49,22.7,21.9,Safe
1.03,32.63,40.93,0.075,0.84,23.1,15.9,Safe
11.15,42.5,24.78,0.075,2.58,23.0,9.9,Safe
3.88,37.79,32.99,0.044,0.29,19.5,13.2,Safe
8.24,25.49,22.39,0.026,4.83,27.4,3.4,Safe
11.32,38.19,29.65,0.177,2.92,29.6,11.9,Safe
1.91,25.08,30.98,0.015,2.74,29.2,5.9,Safe
0.58,28.67,42.44,0.417,1.43,25.0,16.7,Safe
1.29,36.89,44.57,0.263,9.4,22.8,20.4,Safe
2.79,37.97,28.68,0.292,0.38,29.0,2.9,Safe
8.52,23.11,15.58,0.356,8.16,28.6,8.5,Safe
9.86,45.54,43.44,0.079,1.89,26.9,20.6,Safe
0.03,40.72,20.75,0.281,8.5,33.0,4.5,Safe
3.57,27.95,35.52,0.026,5.22,25.9,17.6,Safe
2.7,19.62,15.82,0.01,0.44,25.0,0.0,Safe
1.26,33.55,28.18,0.23,7.12,24.4,6.9,Safe
0.64,30.54,47.54,0.012,4.59,19.8,20.4,Safe
2.06,36.13,18.32,0.67,0.13,28.6,3.9,Safe
14.32,31.37,28.98,0.168,0.57,25.6,9.2,Safe
1.95,14.93,25.14,0.21,4.04,28.0,4.3,Safe
3.66,31.12,44.87,0.042,4.35,33.4,19.4,Safe
6.07,31.94,43.69,0.168,5.49,24.4,24.5,Safe
2.26,41.34,22.84,0.01,5.1,16.6,3.1,Safe
17.84,28.02,17.68,0.273,4.31,27.9,6.6,Safe
16.41,51.79,35.7,0.028,5.81,26.7,23.3,Safe
1.45,15.88,26.1,0.179,3.42,23.1,5.3,Safe
3.44,48.11,37.18,0.038,1.21,27.6,18.1,Safe
1.79,32.76,16.06,0.011,9.74,29.1,2.4,Safe
1.68,43.6,19.4,0.099,0.07,22.2,0.5,Safe
0.19,35.8,37.65,0.028,1.83,24.8,18.0,Safe
4.7,46.4,22.01,0.196,5.22,31.9,8.0,Safe
3.49,31.13,43.3,0.041,2.23,23.1,16.9,Safe
0.26,24.01,16.93,0.063,0.1,26.3,0.0,Safe
1.63,49.21,22.11,0.126,0.27,15.5,8.4,Safe
11.94,33.87,47.95,0.05,4.18,20.1,24.5,Safe
1.37,37.22,29.29,0.071,13.39,26.6,13.9,Safe
0.78,47.35,38.2,0.254,3.21,30.9,19.9,Safe
3.36,24.68,21.03,0.03,2.83,20.6,2.2,Safe
21.22,40.95,35.13,0.013,1.53,26.3,8.4,Safe
1.39,29.1,38.96,0.06,1.19,24.5,14.4,Safe
5.58,33.68,25.38,0.083,0.08,29.8,7.2,Safe
7.17,35.72,42.35,0.117,1.28,21.1,19.6,Safe
1.36,20.0,34.91,0.07,2.38,27.7,14.9,Safe
6.51,27.21,27.84,0.234,0.88,23.4,8.8,Safe
2.29,48.51,33.4,0.01,0.37,26.9,15.9,Safe
5.0,43.86,34.03,0.085,5.06,26.3,16.4,Safe
5.02,34.37,20.46,0.072,9.0,25.0,2.4,Safe
3.84,37.43,28.29,0.156,11.04,27.9,8.6,Safe
0.47,32.06,26.33,0.508,3.85,26.2,12.2,Safe
9.02,48.57,28.23,0.107,0.22,25.5,9.5,Safe
1.93,33.0,40.12,0.65,5.4,24.6,19.9,Safe
1.03,37.32,30.92,0.054,0.47,26.3,8.4,Safe
0.21,46.46,46.03,0.01,4.43,26.9,25.3,Safe
4.47,27.23,24.69,0.027,6.04,22.0,7.8,Safe
5.66,50.59,28.72,0.075,5.18,24.6,12.0,Safe
0.08,19.7,40.97,0.057,12.14,21.8,18.5,Safe
3.59,51.3,33.02,0.015,5.36,25.8,16.2,Safe
1.28,31.27,33.05,0.085,4.73,23.6,10.6,Safe
5.18,32.57,16.76,0.062,1.21,29.1,2.6,Safe
0.96,16.1,28.15,0.02,10.35,28.7,10.4,Safe
5.87,30.45,23.93,0.053,0.79,22.3,9.2,Safe
2.44,24.6,47.98,0.326,9.41,26.0,22.3,Safe
13.8,28.92,25.18,0.054,1.5,28.6,12.3,Safe
0.74,33.63,44.19,0.188,0.56,25.3,16.9,Safe
2.09,44.58,37.32,0.142,7.01,23.1,14.3,Safe
0.6,37.08,26.25,0.084,0.01,21.6,4.5,Safe
12.93,38.08,32.94,0.041,7.14,29.4,15.1,Safe
10.49,24.04,42.74,0.069,1.22,29.6,17.4,Safe
1.49,26.19,44.15,0.135,8.64,25.2,19.9,Safe
5.39,52.99,20.29,0.065,4.7,29.1,5.3,Safe
8.5,27.65,26.21,0.036,4.39,14.1,11.8,Safe
4.05,51.56,26.06,0.019,1.82,31.3,13.8,Safe
3.77,32.57,16.39,0.318,0.24,25.4,0.0,Safe
1.38,35.02,34.74,0.087,7.09,26.6,14.3,Safe
0.49,45.7,43.21,0.147,0.75,24.7,20.8,Safe
11.38,47.72,27.59,0.101,1.86,31.6,13.4,Safe
11.53,33.89,39.42,0.309,3.67,21.8,14.9,Safe
5.01,31.12,35.71,0.119,2.63,31.9,9.8,Safe
2.07,34.44,27.4,0.098,0.89,27.6,5.7,Safe
2.15,38.38,19.65,0.388,0.61,28.5,9.1,Safe
6.47,43.91,38.41,0.191,0.53,24.7,16.4,Safe
11.37,35.04,43.2,0.018,7.95,20.8,23.9,Safe
10.91,41.19,37.63,0.029,0.13,29.7,18.5,Safe
7.57,51.38,15.59,0.232,15.09,27.2,5.1,Safe
5.14,38.81,22.14,0.271,0.89,31.4,8.9,Safe
0.44,38.12,17.29,0.118,0.47,25.2,0.0,Safe
0.88,19.81,33.82,0.121,3.44,24.3,9.7,Safe
11.44,10.0,39.96,0.15,0.33,31.6,9.5,Safe
4.66,38.88,18.65,0.087,3.69,33.6,4.7,Safe
0.05,34.05,42.67,0.171,7.61,26.0,17.8,Safe
0.53,29.85,33.33,0.017,0.2,23.0,16.6,Safe
5.45,37.44,37.77,0.488,6.44,29.2,18.8,Safe
0.03,34.4,47.06,0.208,2.01,25.0,23.2,Safe
0.88,46.28,17.76,0.15,0.69,28.4,5.8,Safe
3.98,35.86,44.74,0.057,0.77,25.0,19.7,Safe
5.89,27.53,19.16,0.026,10.04,32.3,7.0,Safe
5.28,44.9,27.97,0.079,0.47,23.2,10.7,Safe
1.27,32.83,43.1,0.163,8.06,27.9,21.3,Safe
6.23,40.27,44.91,0.151,3.14,24.0,28.3,Safe
1.35,30.23,31.71,0.072,0.16,24.9,10.9,Safe
1.97,28.5,34.61,0.143,2.5,24.4,11.3,Safe
6.86,35.84,38.37,0.252,6.8,29.0,16.6,Safe
5.24,35.13,42.48,0.01,5.18,29.7,19.4,Safe
9.46,39.8,19.01,0.09,2.68,28.2,5.3,Safe
5.36,32.31,41.73,0.213,7.87,25.6,20.0,Safe
4.2,16.64,30.88,0.118,0.51,26.6,5.1,Safe
0.49,30.67,29.87,0.158,9.63,29.6,5.7,Safe
2.29,42.94,28.99,0.109,7.49,29.7,9.7,Safe
1.54,32.03,31.8,0.722,4.93,15.2,13.8,Safe
1.4,32.54,46.19,0.01,6.81,24.9,21.5,Safe
18.06,44.86,33.09,0.101,3.14,25.1,17.4,Safe
2.5,27.88,46.45,0.014,4.5,28.7,20.8,Safe
11.13,19.57,20.95,0.026,3.29,25.7,3.1,Safe
4.99,33.39,38.9,0.072,1.76,28.9,13.6,Safe
7.92,30.16,41.8,0.025,3.37,21.7,19.4,Safe
3.49,25.34,37.41,0.497,1.19,27.0,15.2,Safe
4.3,33.25,35.03,0.44,2.32,29.6,12.1,Safe
3.39,39.92,33.64,0.061,1.32,20.1,15.1,Safe
1.09,34.91,43.41,0.153,0.52,36.1,20.9,Safe
6.41,38.07,42.11,0.114,1.55,30.8,21.4,Safe
1.65,53.13,19.04,0.254,7.64,26.0,9.2,Safe
0.12,31.57,43.0,0.148,1.92,22.7,15.9,Safe
5.18,37.78,28.66,0.01,5.51,25.3,13.0,Safe
0.97,29.91,23.37,0.216,0.77,26.3,5.7,Safe
14.11,26.54,43.7,0.206,2.21,27.8,24.9,Safe
15.39,29.15,29.26,0.107,0.49,32.0,12.8,Safe
12.32,30.21,41.68,0.35,0.6,24.1,20.0,Safe
2.31,38.59,23.69,0.359,3.84,28.3,12.5,Safe
0.08,58.49,15.13,0.111,3.74,20.8,2.5,Safe
13.18,27.84,31.35,0.14,0.96,24.3,13.0,Safe
2.79,30.83,18.31,0.849,2.57,27.5,11.1,Safe
17.0,34.37,39.89,0.053,7.96,28.8,22.4,Safe
16.57,38.96,24.11,0.059,0.77,23.0,8.8,Safe
9.59,37.64,29.64,0.03,0.08,24.2,10.3,Safe
1.74,47.84,17.87,0.339,4.22,31.8,3.0,Safe
2.43,10.74,24.46,0.205,0.22,30.6,4.9,Safe
9.52,11.13,40.79,0.017,15.64,26.8,16.9,Safe
1.91,30.04,20.0,0.601,3.76,17.1,5.2,Safe
0.93,45.97,36.36,0.197,2.54,36.0,16.4,Safe
4.07,19.34,45.28,0.285,2.25,25.9,20.2,Safe
13.76,10.0,37.43,0.01,3.4,24.7,13.3,Safe
5.95,40.71,41.76,0.105,0.38,23.9,17.8,Safe
4.22,37.44,18.6,0.18,10.64,27.5,7.6,Safe
0.51,24.1,23.27,0.117,3.93,27.5,7.3,Safe
4.77,25.14,44.52,0.165,0.81,29.8,17.2,Safe
23.05,25.3,38.6,0.255,3.31,22.3,19.6,Safe
0.75,36.11,36.11,0.07,0.57,24.8,13.3,Safe
3.65,28.74,36.9,0.283,0.07,34.1,13.6,Safe
10.49,39.94,28.67,0.027,3.98,26.9,15.3,Safe
6.75,10.0,16.47,0.047,4.18,25.3,1.4,Safe
5.97,26.43,40.89,0.01,3.51,22.2,15.5,Safe
6.06,23.74,37.4,0.068,0.81,28.0,13.5,Safe
2.23,32.44,30.6,0.072,3.7,30.1,6.0,Safe
1.74,29.62,44.69,0.245,0.23,29.5,18.0,Safe
8.29,42.98,26.09,0.159,3.76,25.0,10.9,Safe
8.31,16.41,24.71,0.086,3.23,27.4,11.4,Safe
10.09,35.45,43.8,0.158,4.26,32.7,21.8,Safe
12.22,40.58,41.3,0.01,9.03,30.3,23.1,Safe
3.58,53.57,31.99,0.03,7.6,22.9,16.5,Safe
3.48,30.18,19.31,0.148,15.78,15.8,11.4,Safe
8.0,38.24,22.1,0.154,14.96,27.2,11.1,Safe
5.25,16.96,36.66,0.223,5.92,29.2,10.2,Safe
6.05,11.08,27.71,0.077,12.53,21.6,12.6,Safe
7.94,43.45,42.6,0.192,8.08,26.0,20.9,Safe
11.04,34.94,46.35,0.173,5.2,24.9,22.1,Safe
2.06,46.79,41.59,0.496,0.31,26.4,17.7,Safe
2.35,21.27,27.46,0.036,0.2,23.8,11.5,Safe
0.49,40.2,41.03,0.12,7.27,31.2,22.7,Safe
4.32,53.69,26.6,0.138,2.69,26.6,14.3,Safe
0.18,39.2,20.51,0.991,6.74,22.5,11.0,Safe
3.13,37.77,16.1,0.034,1.5,29.7,4.1,Safe
3.91,35.09,27.73,0.111,2.03,20.9,8.7,Safe
1.69,19.29,44.82,0.064,4.82,31.1,17.8,Safe
4.47,48.56,22.89,0.112,9.88,30.0,7.8,Safe
0.15,28.89,21.81,0.04,0.37,31.6,2.4,Safe
0.19,40.04,47.0,0.01,7.91,25.4,22.2,Safe
8.65,19.37,15.83,0.127,6.3,24.0,7.9,Safe
2.23,23.21,40.93,0.061,1.52,26.3,13.9,Safe
0.68,49.35,25.61,0.03,1.76,25.7,11.7,Safe
3.69,31.53,16.24,0.059,0.19,23.4,7.2,Safe
7.35,49.53,45.29,0.01,0.06,23.8,25.5,Safe
1.22,34.22,19.61,0.451,2.59,24.5,3.4,Safe
4.88,16.58,33.21,0.131,0.4,21.3,8.6,Safe
0.45,43.92,24.04,0.253,0.86,28.7,8.4,Safe
0.27,29.1,17.15,0.083,7.5,25.8,8.6,Safe
3.79,41.99,16.65,0.35,3.39,24.8,7.8,Safe
3.89,35.25,18.81,0.099,4.02,21.6,5.6,Safe
5.07,19.57,17.36,0.128,0.83,21.4,1.5,Safe
6.47,36.64,40.1,0.102,7.06,33.7,20.2,Safe
18.62,56.96,31.02,0.198,8.1,23.5,18.2,Safe
3.63,39.93,26.32,0.125,2.96,28.4,9.8,Safe
1.95,34.42,28.81,0.048,9.75,26.7,8.8,Safe
7.93,45.75,45.66,0.024,7.45,14.9,21.2,Safe
1.58,37.11,45.05,0.14,5.26,33.2,22.4,Safe
2.89,37.1,38.62,0.101,5.3,28.7,14.4,Safe
0.41,24.08,44.19,0.015,0.45,22.9,14.6,Safe
0.13,37.34,25.55,0.076,1.26,25.9,7.9,Safe
16.44,45.35,27.58,0.108,0.28,21.4,12.4,Safe
9.04,26.64,35.25,0.263,0.03,33.3,16.2,Safe
5.95,49.24,35.58,0.012,0.69,22.4,13.3,Safe
2.63,34.08,30.9,0.064,8.5,23.9,9.1,Safe
0.95,26.12,28.22,0.259,1.1,23.1,11.8,Safe
0.85,44.98,47.54,0.157,14.05,26.3,32.1,Safe
1.44,32.13,42.1,0.051,3.64,31.5,15.2,Safe
3.98,42.6,29.35,0.28,1.08,33.2,9.7,Safe
6.27,32.08,39.0,0.102,2.75,24.4,17.9,Safe
5.4,34.4,23.9,0.103,0.99,27.5,7.1,Safe
1.64,39.94,18.31,0.563,16.53,26.3,7.3,Safe
15.49,37.91,26.63,0.441,7.52,22.1,10.2,Safe
6.7,15.04,28.3,0.067,0.11,35.7,9.5,Safe
4.04,23.79,15.55,0.023,11.81,31.5,1.5,Safe
4.73,44.29,41.89,0.059,5.11,26.8,20.4,Safe
2.72,33.68,26.85,0.01,0.34,32.3,5.2,Safe
1.42,29.76,34.15,0.01,4.44,30.8,14.5,Safe
2.2,21.41,17.44,0.076,4.16,26.3,1.3,Safe
7.09,24.2,20.77,0.425,0.99,27.3,5.1,Safe
0.07,14.78,44.36,0.308,5.68,32.0,20.6,Safe
0.62,33.99,35.09,0.107,0.36,22.2,10.5,Safe
0.24,29.02,46.36,0.125,2.69,32.7,19.2,Safe
0.21,25.33,47.96,0.01,0.04,25.1,14.4,Safe
9.67,34.32,27.27,0.036,13.86,32.1,10.1,Safe
6.08,38.64,24.86,0.01,5.57,26.0,11.8,Safe
3.21,55.93,43.33,0.211,0.69,27.4,19.7,Safe
0.51,19.88,47.95,0.024,1.67,25.9,18.3,Safe
3.38,46.59,35.78,0.305,0.7,23.9,20.6,Safe
3.21,44.73,41.24,0.155,5.82,24.9,22.3,Safe
0.95,27.21,40.8,0.039,0.24,31.5,13.5,Safe
2.84,37.03,26.73,0.026,7.34,16.7,6.8,Safe
2.54,30.42,33.95,0.148,11.4,21.0,9.8,Safe
4.78,36.86,42.49,0.347,4.52,23.1,24.6,Safe
5.04,50.09,37.71,0.19,0.96,21.7,17.5,Safe
0.23,41.06,15.7,0.064,1.79,32.0,0.0,Safe
2.35,40.09,26.11,0.133,2.59,31.0,6.5,Safe
4.92,30.7,19.77,0.056,3.71,28.4,1.7,Safe
3.5,20.16,22.69,1.06,4.42,23.4,6.6,Safe
9.71,32.92,44.88,0.207,3.23,31.3,27.5,Safe
5.37,47.07,16.22,0.143,1.73,19.6,6.0,Safe
0.89,19.73,22.25,0.083,8.86,34.6,6.4,Safe
0.37,24.45,25.22,0.144,0.34,23.3,9.2,Safe
5.14,36.26,35.36,0.063,2.51,25.0,19.1,Safe
0.13,25.15,32.63,0.01,5.98,24.3,12.4,Safe
4.41,27.07,22.2,0.075,0.25,21.7,8.6,Safe
14.09,30.76,20.42,0.4,4.89,33.7,5.0,Safe
4.28,21.34,22.81,0.148,6.85,29.2,3.7,Safe
2.46,25.26,31.58,0.013,4.33,30.9,7.9,Safe
5.15,42.03,23.95,0.324,0.05,21.1,9.1,Safe
3.06,21.93,46.27,0.047,0.79,26.7,10.9,Safe
3.94,19.02,30.31,0.042,1.67,28.1,12.0,Safe
14.19,28.7,16.94,0.053,1.06,27.1,1.6,Safe
2.44,42.32,39.07,0.129,13.15,21.4,22.7,Safe
16.25,33.03,25.85,0.118,4.22,30.3,6.1,Safe
11.79,30.35,36.57,0.101,1.41,26.5,17.9,Safe
1.09,35.44,24.23,0.19,10.62,22.2,12.1,Safe
0.36,17.54,33.83,0.057,5.4,18.6,11.3,Safe
0.53,39.95,40.48,0.229,1.34,28.4,19.4,Safe
0.09,38.83,45.62,0.029,1.9,35.8,18.1,Safe
0.5,30.91,23.62,0.229,0.89,21.9,6.5,Safe
5.74,45.06,26.05,0.164,14.17,26.7,14.3,Safe
0.37,23.73,30.32,0.172,2.91,30.4,8.7,Safe
1.92,46.28,45.6,0.099,9.06,20.9,28.9,Safe
9.32,36.54,44.75,0.165,1.7,24.1,17.1,Safe
0.12,31.63,17.97,0.012,7.89,22.6,2.6,Safe
8.42,34.8,19.35,0.286,0.22,29.9,0.2,Safe
1.66,33.93,31.35,0.01,16.09,31.3,14.5,Safe
0.63,47.2,18.52,0.024,9.72,26.6,4.8,Safe
5.97,24.23,26.4,0.129,1.81,22.6,7.1,Safe
4.96,27.37,19.9,0.202,5.96,24.2,6.7,Safe
10.5,45.36,35.99,0.012,5.58,23.5,17.1,Safe
6.64,29.04,46.33,0.38,9.26,22.1,30.5,Safe
8.13,44.01,47.89,0.545,1.47,25.6,28.4,Safe
1.66,51.99,27.38,0.14,2.51,28.3,11.4,Safe
0.98,30.98,34.77,0.098,8.01,28.0,12.4,Safe
6.94,41.81,43.26,0.203,6.03,26.0,20.4,Safe
8.22,23.46,18.88,0.06,2.0,26.2,4.4,Safe
23.29,42.55,37.76,0.102,7.48,25.7,19.9,Safe
2.66,36.99,28.49,0.372,0.19,20.8,13.0,Safe
2.33,39.73,21.8,0.467,6.09,26.6,7.6,Safe
7.49,28.54,28.29,0.393,0.93,23.7,9.8,Safe
2.08,18.39,17.51,0.046,1.35,20.6,2.0,Safe
13.35,40.03,37.95,0.04,2.72,27.5,17.7,Safe
9.77,14.37,23.34,0.053,2.39,23.6,6.3,Safe
2.8,31.83,25.28,0.087,2.94,26.9,12.7,Safe
6.95,44.41,19.0,0.057,3.15,29.4,6.6,Safe
7.02,36.92,43.53,0.07,1.61,22.2,21.2,Safe
0.54,54.48,31.28,0.145,0.77,26.4,15.9,Safe
11.64,45.25,33.88,0.216,5.85,18.8,16.8,Safe
3.52,28.46,33.79,0.2,2.04,32.1,10.0,Safe
8.76,35.27,28.55,0.253,2.82,20.6,3.5,Safe
1.93,34.53,21.35,0.01,4.14,23.9,0.2,Safe
11.29,19.18,39.59,0.01,9.62,31.4,18.7,Safe
2.46,25.6,19.19,0.234,4.92,25.1,5.0,Safe
0.05,29.39,18.43,0.114,0.19,21.2,2.5,Safe
11.79,14.64,38.43,0.129,7.29,28.9,21.9,Safe
0.48,35.47,21.89,0.01,18.17,28.8,7.5,Safe
1.92,32.51,25.12,0.044,2.56,23.5,1.4,Safe
14.98,18.27,30.68,0.153,13.97,23.9,14.7,Safe
15.04,39.04,29.83,0.294,3.17,24.3,16.2,Safe
4.26,42.16,38.38,0.373,2.46,25.2,20.2,Safe
5.0,37.27,35.57,0.104,1.61,18.4,17.7,Safe
2.98,31.76,36.27,0.118,4.29,25.3,10.3,Safe
1.74,40.91,38.56,0.269,1.04,33.1,17.5,Safe
1.99,41.8,24.66,0.116,0.44,22.4,5.9,Safe
5.58,38.07,25.64,0.109,0.11,23.7,9.7,Safe
6.98,26.75,29.45,0.353,1.38,21.3,14.1,Safe
7.84,37.77,25.15,0.234,2.02,28.4,8.0,Safe
7.79,46.95,47.5,0.36,3.21,30.8,28.4,Safe
0.48,29.03,41.86,0.037,1.39,30.7,14.0,Safe
3.41,55.98,20.43,0.111,16.56,21.0,8.8,Safe
0.3,29.74,15.18,0.277,1.38,28.0,0.5,Safe
3.99,35.32,16.41,0.018,2.33,31.7,7.0,Safe
2.91,28.28,23.05,0.237,0.44,28.0,3.3,Safe
10.93,37.23,18.77,0.03,1.21,27.9,4.6,Safe
2.16,17.58,32.6,0.248,0.2,24.1,13.4,Safe
0.62,29.54,43.31,0.142,3.28,26.9,13.2,Safe
0.77,24.08,39.31,0.032,5.56,30.9,16.0,Safe
7.17,36.35,22.12,0.096,0.87,27.3,6.5,Safe
4.81,44.94,28.18,0.172,1.83,21.0,9.5,Safe
0.53,41.46,31.76,0.151,0.07,24.2,15.3,Safe
